,Betweenness,Degree,EigenVector,Closeness,Betweenness_Norm,Closeness_Norm,EigenVector_Norm,Combined_Score
1817,0.1711030179814929,0.0024630541871921183,0.0045687951934228034,0.04193130113942566,0.9854033616700265,0.959244028348937,0.016736487276947654,1.9613838772959111
1484,0.17225986437116766,0.0012315270935960591,3.1396713773180686e-05,0.03867213575656428,0.9920657825599061,0.8846855279934152,0.00011501296914321497,1.8768663235224645
1802,0.147733640552485,0.0024630541871921183,0.013519132312800879,0.0419202974739762,0.8508162377820607,0.9589923023093073,0.04952351251688623,1.8593320526082542
613,0.1722561554600028,0.0012315270935960591,9.814295139876998e-06,0.037223124658047314,0.9920444224835433,0.8515371351342955,3.5951890769195176e-05,1.843617509508608
135,0.004689552202386936,0.003284072249589491,0.27298411654850224,0.03567950510158849,0.02700770891989174,0.8162244259805236,1.0,1.8432321349004153
1884,0.15331525301141805,0.0016420361247947454,0.0013994178823679877,0.04158130364093429,0.8829614316276002,0.95123728872384,0.005126371087305907,1.839325091438746
1915,0.169596227884609,0.0012315270935960591,2.5293382122277115e-06,0.037601045156019204,0.9767255718547639,0.8601826570002826,9.26551421455436e-06,1.8369174943692612
1072,0.17363754238823947,0.0016420361247947454,9.674841244930863e-07,0.03632147767371238,1.0,0.8309105516060088,3.5441040919360203e-06,1.8309140957101007
160,0.00874069843537653,0.003284072249589491,0.24481277890997474,0.03679726348494241,0.05033875920584637,0.8417948954206211,0.8968022828774282,1.7889359375038958
143,0.004600932024087685,0.003284072249589491,0.26429468320996896,0.03463015339141935,0.026497334394427065,0.7922188660702671,0.9681687218714449,1.7868849223361392
